instance,estimated probability of purchase,Threshold1,Threshold2,purchased
161,0.055209581,0,1,0
162,0.052518999,0,1,0
163,0.075155487,0,1,0
164,0.049572051,0,0,0
165,0.037455284,0,0,0
166,0.042965102,0,0,0
167,0.068643702,0,1,0
168,0.043630576,0,0,0
169,0.029032864,0,0,0
170,0.044119092,0,0,0
171,0.051450167,0,1,0
172,0.044040339,0,0,0
173,0.046134065,0,0,0
174,0.070155209,0,1,0
175,0.059345322,0,1,0
176,0.047605898,0,0,0
177,0.046085379,0,0,0
178,0.057978892,0,1,0
179,0.070954457,0,1,0
180,0.053540922,0,1,0
181,0.049428316,0,0,1
182,0.057514792,0,1,0
183,0.04584561,0,0,0
184,0.050884168,0,1,0
185,0.034200555,0,0,0
186,0.066180594,0,1,0
187,0.042428176,0,0,0
188,0.056460044,0,1,0
189,0.049060364,0,0,0
190,0.057188716,0,1,0
191,0.052898371,0,1,0
192,0.033998784,0,0,0
193,0.053670642,0,1,0
194,0.049337922,0,0,0
195,0.047395019,0,0,0
196,0.054247324,0,1,0
197,0.061433271,0,1,0
198,0.055765457,0,1,0
199,0.052377181,0,1,0
200,0.060417065,0,1,0
201,0.063525938,0,1,0
202,0.063769627,0,1,0
203,0.044600629,0,0,0
204,0.047063317,0,0,0
205,0.061405869,0,1,0
206,0.061356894,0,1,0
207,0.030667244,0,0,0
208,0.041610313,0,0,0
209,0.042747297,0,0,0
210,0.068547957,0,1,0
211,0.060260629,0,1,0
212,0.039443431,0,0,0
213,0.043338239,0,0,0
214,0.040250954,0,0,0
215,0.064584849,0,1,0
216,0.037058274,0,0,0
217,0.050718984,0,1,0
218,0.067194114,0,1,0
219,0.054820751,0,1,0
220,0.057200774,0,1,0
221,0.050026464,0,1,0
222,0.048709616,0,0,0
223,0.042711976,0,0,0
224,0.047842215,0,0,0
225,0.059909136,0,1,0
226,0.03798836,0,0,0
227,0.068729003,0,1,0
228,0.040168347,0,0,0
229,0.06996437,0,1,0
230,0.075864479,0,1,0
231,0.038426102,0,0,0
232,0.048685446,0,0,0
233,0.048516474,0,0,0
234,0.059768506,0,1,0
235,0.069314043,0,1,0
236,0.053706897,0,1,0
237,0.05807878,0,1,0
238,0.054237036,0,1,0
239,0.042172735,0,0,1
240,0.049447914,0,0,0
241,0.050693556,0,1,0
242,0.033622389,0,0,0
243,0.057675466,0,1,0
244,0.040668286,0,0,0
245,0.07176001,0,1,0
246,0.023191785,0,0,0
247,0.04370858,0,0,0
248,0.028597652,0,0,0
249,0.059530182,0,1,0
250,0.040938108,0,0,0
251,0.069061861,0,1,1
252,0.056057731,0,1,0
253,0.056619822,0,1,0
254,0.040970614,0,0,0
255,0.053913325,0,1,0
256,0.045465773,0,0,0
257,0.052882647,0,1,0
258,0.048243394,0,0,0
259,0.043092212,0,0,0
260,0.051142788,0,1,0
261,0.04621266,0,0,0
262,0.046580658,0,0,0
263,0.05143417,0,1,0
264,0.045944302,0,0,0
265,0.03322934,0,0,0
266,0.049407736,0,0,0
267,0.054161394,0,1,0
268,0.037058274,0,0,0
269,0.055742422,0,1,0
270,0.013253388,0,0,0
271,0.044893473,0,0,0
272,0.066851027,0,1,0
273,0.067233522,0,1,0
274,0.051758685,0,1,0
275,0.055848432,0,1,1
276,0.046263468,0,0,0
277,0.042399351,0,0,0
278,0.042312733,0,0,1
279,0.050187466,0,1,0
280,0.050787989,0,1,0
281,0.034524591,0,0,1
282,0.041018693,0,0,0
283,0.04435152,0,0,0
284,0.041039178,0,0,0
285,0.08501397,0,1,0
286,0.038286314,0,0,0
287,0.04286704,0,0,0
288,0.056580937,0,1,0
289,0.051246166,0,1,0
290,0.043335465,0,0,0
291,0.071896039,0,1,0
292,0.066700338,0,1,0
293,0.063253095,0,1,0
294,0.040017014,0,0,0
295,0.038891179,0,0,0
296,0.066766297,0,1,0
297,0.040834895,0,0,0
298,0.055604537,0,1,0
299,0.025312476,0,0,0
300,0.03746571,0,0,0
301,0.072501369,0,1,0
302,0.055404278,0,1,0
303,0.073468685,0,1,1
304,0.038339898,0,0,0
305,0.054322489,0,1,0
306,0.039128085,0,0,0
307,0.067613328,0,1,0
308,0.010704947,0,0,0
309,0.061015605,0,1,0
310,0.06373951,0,1,0
311,0.051925492,0,1,0
312,0.041063487,0,0,0
313,0.06417978,0,1,0
314,0.054250942,0,1,0
315,0.032868238,0,0,0
316,0.049200469,0,0,0
317,0.058484684,0,1,0
318,0.063198731,0,1,0
319,0.048301948,0,0,1
320,0.068300379,0,1,0
321,0.065825003,0,1,0
322,0.062199022,0,1,0
323,0.060316525,0,1,0
324,0.055062221,0,1,0
325,0.060514839,0,1,0
326,0.071375653,0,1,0
327,0.066780436,0,1,0
328,0.051298129,0,1,0
329,0.054647492,0,1,0
330,0.078873248,0,1,0
331,0.066457354,0,1,0
332,0.070315956,0,1,0
333,0.04185706,0,0,0
334,0.053891096,0,1,0
335,0.027342165,0,0,0
336,0.045397273,0,0,0
337,0.048966994,0,0,0
338,0.049427716,0,0,0
339,0.068581196,0,1,0
340,0.034470521,0,0,0
341,0.049408675,0,0,0
342,0.041491552,0,0,0
343,0.047007545,0,0,0
344,0.053886949,0,1,0
345,0.037945736,0,0,0
346,0.062077698,0,1,0
347,0.042707845,0,0,0
348,0.04982611,0,0,0
349,0.056098489,0,1,0
350,0.06457974,0,1,0
351,0.041202708,0,0,0
352,0.04572036,0,0,0
353,0.03696209,0,0,0
354,0.04631669,0,0,0
355,0.045242391,0,0,0
356,0.040841626,0,0,0
357,0.02220534,0,0,0
358,0.05435577,0,1,0
359,0.045949037,0,0,0
360,0.041625871,0,0,0
361,0.076042745,0,1,0
362,0.055246309,0,1,0
363,0.051156618,0,1,0
364,0.071529405,0,1,0
365,0.050472919,0,1,0
366,0.032968637,0,0,0
367,0.049535567,0,0,0
368,0.05254713,0,1,0
369,0.036728603,0,0,0
370,0.038577102,0,0,0
371,0.054313254,0,1,0
372,0.044926099,0,0,0
373,0.052663177,0,1,0
374,0.039592265,0,0,0
375,0.050441581,0,1,0
376,0.007271565,0,0,0
377,0.06469941,0,1,0
378,0.052774362,0,1,0
379,0.051263216,0,1,0
380,0.058391992,0,1,0
381,0.07076365,0,1,0
382,0.048770885,0,0,0
383,0.05295483,0,1,0
384,0.046963575,0,0,0
385,0.054710932,0,1,0
386,0.056023904,0,1,0
387,0.032377429,0,0,0
388,0.018939553,0,0,0
389,0.032977731,0,0,0
390,0.008680672,0,0,0
391,0.044794787,0,0,0
392,0.036556565,0,0,0
393,0.052499517,0,1,0
394,0.037739722,0,0,0
395,0.043872235,0,0,0
396,0.048170712,0,0,0
397,0.023253413,0,0,0
398,0.049628709,0,0,0
399,0.051274877,0,1,0
400,0.041625871,0,0,0
401,0.055259319,0,1,0
402,0.067802363,0,1,0
403,0.05689369,0,1,0
404,0.052892413,0,1,0
405,0.058505464,0,1,0
406,0.060581644,0,1,0
407,0.052491726,0,1,1
408,0.042998838,0,0,0
409,0.046878011,0,0,0
410,0.049397957,0,0,0
411,0.059893579,0,1,0
412,0.040919886,0,0,0
413,0.046811653,0,0,0
414,0.058712645,0,1,0
415,0.063912835,0,1,0
416,0.061126744,0,1,0
417,0.048450117,0,0,0
418,0.070082717,0,1,0
419,0.051035116,0,1,0
420,0.061217242,0,1,0
421,0.058997226,0,1,0
422,0.058621462,0,1,0
423,0.051928167,0,1,0
424,0.071142293,0,1,0
425,0.047812201,0,0,0
426,0.043811697,0,0,0
427,0.035151299,0,0,0
428,0.047832181,0,0,0
429,0.060586203,0,1,0
430,0.043686522,0,0,0
431,0.035778955,0,0,0
432,0.05432662,0,1,0
433,0.061643925,0,1,0
434,0.048262841,0,0,0
435,0.037992269,0,0,0
436,0.051623553,0,1,0
437,0.046913472,0,0,0
438,0.066609396,0,1,0
439,0.038796844,0,0,0
440,0.05437521,0,1,0
441,0.047035849,0,0,0
442,0.071446784,0,1,0
443,0.046223508,0,0,0
444,0.035386711,0,0,0
445,0.055110461,0,1,0
446,0.061622376,0,1,0
447,0.047723972,0,0,0
448,0.046162684,0,0,0
449,0.062022991,0,1,0
450,0.038286605,0,0,0
451,0.053857832,0,1,0
452,0.049784009,0,0,0
453,0.050111271,0,1,0
454,0.043636461,0,0,0
455,0.06105205,0,1,0
456,0.047196135,0,0,0
457,0.030603701,0,0,0
458,0.038286459,0,0,0
459,0.040071763,0,0,0
460,0.051113103,0,1,0
461,0.060392671,0,1,0
462,0.0492992,0,0,0
463,0.045513334,0,0,0
464,0.049252182,0,0,0
465,0.044096946,0,0,0
466,0.057100845,0,1,0
467,0.045090544,0,0,0
468,0.037602476,0,0,0
469,0.044414476,0,0,0
470,0.050060395,0,1,0
471,0.041633654,0,0,0
472,0.043449566,0,0,0
473,0.040212341,0,0,0
474,0.06120112,0,1,0
475,0.061151757,0,1,0
476,0.03915339,0,0,0
477,0.076665141,0,1,0
478,0.040789139,0,0,0
479,0.042219403,0,0,0
480,0.048912408,0,0,0
481,0.046823834,0,0,0
482,0.049638177,0,0,0
483,0.036023747,0,0,0
484,0.058433031,0,1,0
485,0.061778834,0,1,0
486,0.049581672,0,0,0
487,0.028285774,0,0,1
488,0.074538189,0,1,0
489,0.053591707,0,1,0
490,0.042227206,0,0,0
491,0.056106161,0,1,0
492,0.053858198,0,1,0
493,0.048660446,0,0,0
494,0.044961649,0,0,0
495,0.06188535,0,1,0
496,0.06826802,0,1,0
497,0.038609142,0,0,1
498,0.063532958,0,1,0
499,0.07871458,0,1,0
500,0.04349269,0,0,0
501,0.044186731,0,0,0
502,0.03925003,0,0,0
503,0.044203314,0,0,0
504,0.045956469,0,0,0
505,0.055171191,0,1,1
506,0.05362864,0,1,0
507,0.06188325,0,1,0
508,0.050494466,0,1,0
509,0.05535478,0,1,0
510,0.06000259,0,1,0
511,0.037740877,0,0,0
512,0.048609646,0,0,0
513,0.060413617,0,1,0
514,0.041637408,0,0,0
515,0.051234295,0,1,0
516,0.062521601,0,1,0
517,0.058802943,0,1,0
518,0.060111399,0,1,0
519,0.048897803,0,0,0
520,0.052998344,0,1,0
521,0.060586661,0,1,0
522,0.070049534,0,1,0
523,0.035237234,0,0,0
524,0.066940268,0,1,0
525,0.026218298,0,0,0
526,0.038050948,0,0,0
527,0.04524419,0,0,0
528,0.038415711,0,0,0
529,0.057078245,0,1,0
530,0.06193998,0,1,0
531,0.060012115,0,1,0
532,0.047906518,0,0,0
533,0.054391813,0,1,0
534,0.048918463,0,0,1
535,0.030567647,0,0,0
536,2.04E-06,0,0,0
537,0.046018856,0,0,0
538,0.045349946,0,0,0
539,0.05465473,0,1,0
540,0.053715278,0,1,0
541,0.022150225,0,0,0
542,0.060278456,0,1,0
543,0.042387613,0,0,0
544,0.053297682,0,1,0
545,0.056882085,0,1,0
546,0.066404886,0,1,0
547,0.077804553,0,1,0
548,0.054250254,0,1,0
549,0.061059148,0,1,0
550,0.05116824,0,1,0
551,0.061900904,0,1,1
552,0.069923959,0,1,0
553,0.061248678,0,1,1
554,0.040507541,0,0,1
555,0.03473576,0,0,0
556,0.052596297,0,1,0
557,0.045028895,0,0,0
558,0.067506205,0,1,0
559,0.047396794,0,0,0
560,0.061254391,0,1,0
561,0.042799803,0,0,0
562,0.068993569,0,1,0
563,0.059205749,0,1,0
564,0.056708344,0,1,0
565,0.038706855,0,0,0
566,0.069812467,0,1,0
567,0.037837379,0,0,0
568,0.051329022,0,1,0
569,0.033836445,0,0,0
570,0.041614652,0,0,0
571,0.051318429,0,1,0
572,0.041262438,0,0,0
573,0.054262718,0,1,0
574,0.048183031,0,0,0
575,0.066779608,0,1,0
576,0.04965336,0,0,0
577,0.071218054,0,1,1
578,0.048464981,0,0,0
579,0.03434474,0,0,0
580,0.075686995,0,1,0
581,0.04177429,0,0,0
582,0.048821316,0,0,0
583,0.031988546,0,0,0
584,0.051862138,0,1,0
585,0.046030249,0,0,0
586,0.064328642,0,1,0
587,0.054328644,0,1,1
588,0.071336754,0,1,0
589,0.076149151,0,1,0
590,0.050464819,0,1,0
591,0.037047957,0,0,0
592,0.059373953,0,1,0
593,0.065758057,0,1,0
594,0.0527038,0,1,0
595,0.057845602,0,1,0
596,0.062054958,0,1,0
597,0.060976906,0,1,0
598,0.066393867,0,1,0
599,0.051250801,0,1,0
600,0.06911967,0,1,0
601,0.037183257,0,0,0
602,0.042494372,0,0,0
603,0.042124541,0,0,0
604,0.043144921,0,0,0
605,0.068897348,0,1,0
606,0.032977731,0,0,0
607,0.04931131,0,0,0
608,0.066485921,0,1,0
609,0.049631155,0,0,0
610,0.06229814,0,1,0
611,0.049667237,0,0,1
612,0.046714557,0,0,0
613,0.043178783,0,0,0
614,0.042775683,0,0,0
615,0.058001266,0,1,0
616,0.01888533,0,0,0
617,0.033988901,0,0,0
618,0.047542688,0,0,0
619,0.040438126,0,0,0
620,0.052480449,0,1,0
621,0.070342688,0,1,0
622,0.045298515,0,0,0
623,0.045759301,0,0,0
624,0.072090517,0,1,0
625,0.037877449,0,0,0
626,0.064010574,0,1,0
627,0.03122751,0,0,0
628,0.049621603,0,0,0
629,0.00834368,0,0,0
630,0.041811088,0,0,0
631,0.049092716,0,0,0
632,0.050356652,0,1,0
633,0.040058823,0,0,0
634,0.038420911,0,0,0
635,0.036877616,0,0,0
636,0.048940359,0,0,0
637,0.045725824,0,0,0
638,0.040201078,0,0,0
639,0.074547626,0,1,0
640,0.038040221,0,0,0
641,0.055757166,0,1,0
642,0.038166309,0,0,0
643,0.054714285,0,1,0
644,0.043516919,0,0,0
645,0.066361944,0,1,0
646,0.062861244,0,1,0
647,0.072805756,0,1,0
648,0.054693331,0,1,0
649,0.035210246,0,0,0
650,0.072452561,0,1,0
651,0.05004924,0,1,0
652,0.068019142,0,1,0
653,0.042597688,0,0,0
654,0.034344609,0,0,0
655,0.054973753,0,1,0
656,0.048876367,0,0,0
657,0.044808849,0,0,0
658,0.039429774,0,0,0
659,0.047079823,0,0,0
660,0.053958785,0,1,0
661,0.069041786,0,1,0
662,0.033842854,0,0,0
663,0.044212573,0,0,0
664,0.037877592,0,0,1
665,0.047805208,0,0,0
666,0.067760669,0,1,0
667,0.059808524,0,1,0
668,0.067482755,0,1,0
669,0.062465449,0,1,0
670,0.050109782,0,1,0
671,0.054285851,0,1,0
672,0.049705663,0,0,0
673,0.034460768,0,0,0
674,0.035056039,0,0,0
675,0.036632406,0,0,0
676,0.040941275,0,0,0
677,0.023655694,0,0,0
678,0.040129339,0,0,0
679,0.051129197,0,1,0
680,0.056110443,0,1,0
681,0.047338836,0,0,0
682,0.053656218,0,1,0
683,0.042880576,0,0,0
684,0.054064972,0,1,0
685,0.072699042,0,1,0
686,0.041601225,0,0,0
687,0.050534697,0,1,0
688,0.057244326,0,1,0
689,0.036109635,0,0,0
690,0.050135355,0,1,0
691,0.037866912,0,0,0
692,0.063192372,0,1,0
693,0.050808777,0,1,0
694,0.045241445,0,0,0
695,0.04805586,0,0,1
696,0.065512289,0,1,0
697,0.053032777,0,1,0
698,0.048330187,0,0,0
699,0.037919311,0,0,0
700,0.066678619,0,1,0
701,0.041867764,0,0,0
702,0.034066078,0,0,0
703,0.037183257,0,0,0
704,0.068786672,0,1,0
705,0.042241118,0,0,1
706,0.052671171,0,1,0
707,0.047463429,0,0,0
708,0.03568251,0,0,0
709,0.050356207,0,1,0
710,0.04396629,0,0,0
711,0.063688516,0,1,0
712,0.070464771,0,1,0
713,0.041777165,0,0,0
714,0.050671514,0,1,0
715,0.063765509,0,1,0
716,0.077176021,0,1,0
717,0.067053192,0,1,0
718,0.049926452,0,0,0
719,0.054422275,0,1,0
720,0.057535692,0,1,0
721,0.03995715,0,0,0
722,0.047260512,0,0,0
723,0.055192248,0,1,0
724,0.047171608,0,0,0
725,0.03458709,0,0,0
726,0.029975303,0,0,1
727,0.053177902,0,1,0
728,0.064940245,0,1,1
729,0.066848155,0,1,0
730,0.041796491,0,0,0
731,0.047714633,0,0,0
732,0.036317798,0,0,0
733,0.043468802,0,0,0
734,0.04674546,0,0,0
735,0.045473162,0,0,0
736,0.042487357,0,0,0
737,0.047377507,0,0,0
738,0.046730104,0,0,0
739,0.046527621,0,0,0
740,0.040867048,0,0,0
741,0.065258753,0,1,0
742,0.059490079,0,1,0
743,0.042274269,0,0,0
744,0.042676521,0,0,0
745,0.054929957,0,1,0
746,0.068801906,0,1,0
747,0.039254858,0,0,0
748,0.059422056,0,1,0
749,0.050358793,0,1,0
750,0.052237466,0,1,0
751,0.066275985,0,1,0
752,0.049476712,0,0,0
753,0.067067933,0,1,0
754,0.038847969,0,0,0
755,0.071819517,0,1,0
756,0.0512768,0,1,0
757,0.070505141,0,1,0
758,0.032879057,0,0,0
759,0.043524091,0,0,0
760,0.059221162,0,1,0
761,0.057668193,0,1,0
762,0.033586761,0,0,0
763,0.031303303,0,0,0
764,0.046612203,0,0,0
765,0.034742806,0,0,0
766,0.051681243,0,1,0
767,0.05226115,0,1,0
768,0.03564094,0,0,0
769,0.067654192,0,1,1
770,0.053631739,0,1,0
771,0.055453693,0,1,0
772,0.04596495,0,0,0
773,0.063797457,0,1,0
774,0.066314542,0,1,0
775,0.049111753,0,0,0
776,0.052326674,0,1,0
777,0.043674608,0,0,0
778,0.069249147,0,1,0
779,0.062804756,0,1,0
780,0.078260095,0,1,0
781,0.050716012,0,1,0
782,0.04795431,0,0,0
783,0.042008961,0,0,0
784,0.062534596,0,1,0
785,0.05876901,0,1,1
786,0.065290772,0,1,0
787,0.045340098,0,0,0
788,0.042245904,0,0,0
789,0.052346978,0,1,0
790,0.042965883,0,0,0
791,0.03347605,0,0,0
792,0.070655535,0,1,0
793,0.041986643,0,0,0
794,0.024543326,0,0,0
795,0.0320515,0,0,0
796,0.060576516,0,1,0
797,0.050010907,0,1,0
798,0.045118394,0,0,0
799,0.03804051,0,0,0
800,0.051162741,0,1,0
801,0.056963234,0,1,0
802,0.066281036,0,1,0
803,0.052963816,0,1,0
804,0.04549104,0,0,0
805,0.050123192,0,1,0
806,0.073585133,0,1,0
807,0.049117378,0,0,0
808,0.033836445,0,0,0
809,0.065901254,0,1,0
810,0.03087239,0,0,1
811,0.052334253,0,1,0
812,0.049870532,0,0,0
813,0.070802613,0,1,0
814,0.04903079,0,0,0
815,0.038050948,0,0,0
816,0.062327618,0,1,0
817,0.037739722,0,0,0
818,0.037058177,0,0,0
819,0.056604356,0,1,1
820,0.046414493,0,0,0
821,0.06350017,0,1,0
822,0.075684502,0,1,0
823,0.047340572,0,0,0
824,0.05667104,0,1,0
825,0.056398781,0,1,0
826,0.036290614,0,0,0
827,0.061431165,0,1,0
828,0.041928984,0,0,0
829,0.068876548,0,1,0
830,0.041544136,0,0,0
831,0.036189401,0,0,0
832,0.065231585,0,1,0
833,0.047165852,0,0,0
834,0.066322238,0,1,0
835,0.06737788,0,1,0
836,0.064125275,0,1,0
837,0.074315327,0,1,0
838,0.059167747,0,1,0
839,0.065379271,0,1,0
840,0.046416973,0,0,0
841,0.041953741,0,0,0
842,0.044425073,0,0,0
843,0.0551631,0,1,0
844,0.047648026,0,0,0
845,0.06293726,0,1,0
846,0.054961822,0,1,0
847,0.04561794,0,0,0
848,0.048274851,0,0,0
849,0.053579656,0,1,0
850,0.052378341,0,1,0
851,0.05628868,0,1,0
852,0.0618142,0,1,0
853,0.05335141,0,1,0
854,0.052828793,0,1,0
855,0.057627383,0,1,0
856,0.078253668,0,1,0
857,0.043203755,0,0,0
858,0.051776432,0,1,0
859,0.046309035,0,0,0
860,0.069658682,0,1,0
861,0.043332663,0,0,0
862,0.040654908,0,0,0
863,0.052976382,0,1,0
864,0.061635808,0,1,0
865,0.037183257,0,0,0
866,0.044300293,0,0,0
867,0.044555515,0,0,0
868,0.042966748,0,0,0
869,0.036616094,0,0,0
870,0.042068374,0,0,0
871,0.060702277,0,1,1
872,0.043617154,0,0,0
873,0.037739722,0,0,0
874,0.04365046,0,0,0
875,0.038040874,0,0,0
876,0.065874871,0,1,0
877,0.044430724,0,0,0
878,0.03815806,0,0,0
879,0.060501431,0,1,0
880,0.056661627,0,1,0
881,0.052517007,0,1,1
882,0.076247643,0,1,0
883,0.061778939,0,1,0
884,0.037060104,0,0,0
885,0.067909305,0,1,0
886,0.048028168,0,0,0
887,0.066208657,0,1,0
888,0.026236867,0,0,0
889,0.065296144,0,1,0
890,0.050450616,0,1,0
891,0.067164324,0,1,0
892,0.041524852,0,0,0
893,0.056874763,0,1,0
894,0.06704655,0,1,0
895,0.050069792,0,1,0
896,0.062959013,0,1,0
897,0.055656303,0,1,0
898,0.038576956,0,0,0
899,0.035261231,0,0,0
900,0.056355276,0,1,0
901,0.044190096,0,0,0
902,0.060126126,0,1,0
903,0.041918486,0,0,0
904,0.05329765,0,1,0
905,0.053353869,0,1,0
906,0.032977731,0,0,0
907,0.050400668,0,1,0
908,0.048814331,0,0,0
909,0.058557646,0,1,0
910,0.051806294,0,1,0
911,0.037015632,0,0,0
912,0.034470521,0,0,0
913,0.053305372,0,1,0
914,0.066835007,0,1,0
915,0.045081727,0,0,0
916,0.078143015,0,1,0
917,0.053068838,0,1,0
918,0.0590672,0,1,0
919,0.049509223,0,0,0
920,0.06114544,0,1,1
921,0.066895913,0,1,0
922,0.055110062,0,1,0
923,0.050445298,0,1,0
924,0.037998208,0,0,0
925,0.058953904,0,1,0
926,0.041625714,0,0,0
927,0.048440248,0,0,0
928,0.04929964,0,0,0
929,0.054445951,0,1,0
930,0.056122409,0,1,0
931,0.053754266,0,1,0
932,0.071176136,0,1,0
933,0.038329069,0,0,0
934,0.06422757,0,1,0
935,0.03989889,0,0,0
936,0.041230964,0,0,0
937,0.050996372,0,1,0
938,0.059971598,0,1,0
939,0.044148701,0,0,0
940,0.044152076,0,0,0
941,0.04756745,0,0,0
942,0.038858767,0,0,0
943,0.061435785,0,1,0
944,0.052171822,0,1,1
945,0.043365526,0,0,0
946,0.057175869,0,1,0
947,0.048198177,0,0,0
948,0.034079764,0,0,0
949,0.041940601,0,0,1
950,0.037047957,0,0,0
951,0.062274161,0,1,0
952,0.055762712,0,1,0
953,0.046476699,0,0,0
954,0.052826443,0,1,0
955,0.04506087,0,0,0
956,0.046094661,0,0,0
957,0.048777555,0,0,0
958,0.042164009,0,0,0
959,0.04287704,0,0,0
960,0.057938211,0,1,0
961,0.06694292,0,1,0
962,0.037319224,0,0,1
963,0.045241975,0,0,0
964,0.053704079,0,1,0
965,0.062255424,0,1,0
966,0.066882491,0,1,1
967,0.06064691,0,1,0
968,0.054790089,0,1,0
969,0.040842911,0,0,0
970,0.045921525,0,0,1
971,0.050695431,0,1,0
972,0.067451494,0,1,0
973,0.045524715,0,0,0
974,0.070290749,0,1,0
975,0.035787716,0,0,0
976,0.03581378,0,0,0
977,0.062790647,0,1,0
978,0.057773134,0,1,0
979,0.045698299,0,0,0
980,0.055388282,0,1,0
981,0.047319423,0,0,0
982,0.050223339,0,1,1
983,0.038739139,0,0,0
984,0.063235592,0,1,0
985,0.058041406,0,1,0
986,0.018533065,0,0,0
987,0.043335465,0,0,0
988,0.052764824,0,1,0
989,0.061389622,0,1,0
990,0.061015051,0,1,0
991,0.052030533,0,1,0
992,0.044179122,0,0,0
993,0.059584473,0,1,0
994,0.062562729,0,1,0
